episode_id,step,timestamp,distance_to_target,normalized_distance,distance_improvement,position_x,position_y,position_z,waypoint_x,waypoint_y,waypoint_z,action_magnitude,policy_length,control_error,velocity_x,velocity_y,velocity_z,speed,vfe,efe,delta_vfe,efe_vs_vfe_gap,efe_pragmatic,efe_epistemic,suitability,suitability_std,precision_factor,entropy,model_confidence,predicted_efe_improvement,action_heading_angle_rad,action_heading_angle_deg,planning_iterations,planning_time_ms,replanning_occurred,dynamic_replanning,replanning_triggered_reason,direct_path_clear,direct_path_suitability,collision,obstacles_count,closest_obstacle,obstacle_density,high_density_area,near_goal,time_since_movement
0,0,1748280051.3452733,20.047671107432972,0.9999983777267122,3.25228540809519e-05,0.0,0.0,-1.6663614511489868,-2.6323380587618908,1.4060185498729227,-3.2570899183691138,3.3817907792495934,2,0.0,0.0,0.0,-0.011498033069074154,0.011498033069074154,219.04293876095971,-226.1580682870764,0.0,-445.2010070480361,-219.04293876095971,-7.115129526116673,0.0,0.0,1.0,0.0,0.0,0.0,2.651012978224966,151.89185508669738,0,5.51605224609375,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
0,1,1748280057.6389413,16.73853962809199,0.8349355086636583,3.3091314793409836,-2.8595919609069824,1.2708512544631958,-2.8602023124694824,-5.434589952218521,2.698075190090604,-4.524211343974819,3.3817907792495934,2,3.3817907792495934,0.2727300226688385,-0.10087717324495316,-0.0074231261387467384,0.29088309017285485,226.52163027830366,-233.62638510063974,0.0,-460.1480153789434,-226.52163027830366,-7.104754822336064,0.0,0.0,1.0,0.0,0.0,0.0,2.635483045164874,151.0020554662334,0,8.118152618408203,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
0,2,1748280060.645975,13.12035964769486,0.6544569836853178,3.6181799803971284,-5.87471342086792,2.928255796432495,-4.15122652053833,-8.382662657912034,4.321864622569947,-5.941353314572057,3.3817907792463786,2,3.3817907792463786,-0.8969814777374268,0.4734293222427368,-0.05856947973370552,1.0159436394404524,232.64706690698512,-239.73647951948547,6.125436628681456,-472.3835464264706,-232.64706690698512,-7.089412612500348,0.0,0.0,1.0,0.0,0.0,0.0,2.6344016208224232,150.94009441554826,0,9.233713150024414,False,False,none,False,0.0,False,3,9.743615284822965,0.6,False,False,0.0
0,3,1748280063.2566864,9.531694668676112,0.4754506972198108,3.5886649790187484,-8.816631317138672,4.565409183502197,-5.567972660064697,-17.020320769114246,7.968936378560739,-11.117138855522757,10.472715190282454,2,10.472715190282454,-0.8161913752555847,0.46527349948883057,-0.04144681990146637,0.9404071614189942,714.3231276616043,-736.2080461111453,481.6760607546192,-1450.5311737727498,-714.3231276616043,-21.884918449541043,0.0,0.0,1.0,0.0,0.0,0.0,2.7483268921964856,157.4675316451646,0,5.521297454833984,False,False,none,False,0.0,False,6,12.972414051726847,1.2,False,False,0.0
0,4,1748280070.5596325,2.1709186573409145,0.10828764717277647,7.360776011335197,-17.7428035736084,8.154624938964844,-10.765676498413086,-16.03241937787574,8.2989655139563,-11.030251448371036,1.7367349258727316,2,1.736734925872733,0.2072271853685379,-0.24939587712287903,0.030157580971717834,0.32565455558263307,141.20523187591633,-145.69795295420127,-573.117895785688,-286.9031848301176,-141.20523187591633,-4.492721078284957,0.0,0.0,1.0,0.0,0.0,0.0,0.08419124629260147,4.8238030845125035,0,5.312442779541016,False,False,none,False,0.0,False,4,19.469033820026358,0.8,False,True,0.0
1,0,1748280081.2099028,21.031157619088837,0.9999979297402443,4.354004937567879e-05,0.0,0.0,-1.6656148433685303,2.991817107330844,0.7392175525603506,-3.0581293606669178,3.381790779249594,2,0.0,0.0,0.0,-0.011721189133822918,0.011721189133822918,218.21981567696088,-225.33643023398628,0.0,-443.55624591094715,-218.21981567696088,-7.116614557025392,0.0,0.0,1.0,0.0,0.0,0.0,0.24222835048937433,13.878662161456818,0,5.745410919189453,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
1,1,1748280085.8008258,17.34332018763137,0.8246471543112776,3.687837431457467,3.550563097000122,0.7341335415840149,-2.6311895847320557,6.486224496222436,1.4873869371099686,-4.131526328887274,3.381790779249593,2,3.381790779249593,-0.45691782236099243,-0.23258531093597412,0.008643388748168945,0.512781173039092,224.01044064908587,-231.11604255769896,0.0,-455.1264832067848,-224.01044064908587,-7.105601908613096,0.0,0.0,1.0,0.0,0.0,0.0,0.25116878957882294,14.390911588276008,0,4.575014114379883,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
1,2,1748280088.9385066,13.700995859092902,0.651460454180465,3.642324328538468,6.958621025085449,1.6254669427871704,-3.7508959770202637,9.833505240650993,2.3589619271631816,-5.3737128889375905,3.381790779249593,2,3.381790779249593,1.0006183385849,0.26543906331062317,-0.0641990676522255,1.0372157326858484,230.69360963971894,-237.78449485840454,6.683168990633078,-468.47810449812346,-230.69360963971894,-7.09088521868559,0.0,0.0,1.0,0.0,0.0,0.0,0.2498094575678006,14.313027601087397,0,4.062652587890625,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
1,3,1748280091.5252404,10.085289725175237,0.479539406658811,3.6157061339176657,10.317160606384277,2.481584072113037,-4.983888149261475,13.096545166361988,3.1909739780698523,-6.7750599176024275,3.381790779249593,2,3.381790779249593,0.9584687352180481,0.24459250271320343,-0.053205206990242004,0.9906152647849051,233.8777823646062,-240.94852064568664,3.1841727248872473,-474.8263030102928,-233.8777823646062,-7.070738281080449,0.0,0.0,1.0,0.0,0.0,0.0,0.24989748853549454,14.318071404002714,0,4.022836685180664,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
1,4,1748280094.1359768,6.49720313754107,0.30893162441737126,3.5880865876341668,13.594245910644531,3.3180227279663086,-6.393601417541504,18.720718102842717,3.75477902890919,-11.149458453646218,7.0064005988568265,2,7.0064005988568265,0.9027164578437805,0.23255348205566406,-0.04060087352991104,0.9330737142421427,473.38653287256744,-487.97650296468765,239.50875050796125,-961.3630358372551,-473.38653287256744,-14.589970092120216,0.0,0.0,1.0,0.0,0.0,0.0,0.084991031847479,4.869627421322514,0,5.0106048583984375,False,False,none,False,0.0,False,0,inf,0.0,False,False,0.0
