episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,34,True,success,1.4312943816645738,86.20833088814412,84.77703650647955,0.9833972614140775,98.33972614140775,0.028923448865119925,98.69128697007909,0.8735151150099044,0.5228418881468568,1.231416017278841,71.66741476326543,-72.35271139961739,0.0,0.0,0.0,0,0.0,182,72.17647058823529,0.6116438122760749,1,1,2.941176470588235,2.941176470588235,470.07851740893193,13213.793277740479,174.37053513526917,5.128545151037328,1749605551.9708898,False,False,False
1,success,13,True,success,0.9783721192407467,34.93416578890081,33.95579366966007,0.9719938319079143,97.19938319079144,0.0747687563006088,35.345483224993146,0.9883629420632313,0.7314444492670412,1.2071284322914821,145.73679274866737,-146.6981452363393,0.0,0.0,0.0,0,0.0,134,105.15384615384616,1.6786403549688882,1,1,7.6923076923076925,7.6923076923076925,78.68599891662598,181.7026138305664,66.8274405002594,5.1405723461737995,1749605624.7431707,False,False,False
2,success,4,True,success,1.3762734859655967,13.480115940791727,12.10384245482613,0.8979034385156213,89.79034385156213,0.22447585962890532,11.0,1.2254650855265206,0.5722616686294991,1.1219128441400492,263.3282980127741,-265.39628365674486,0.0,0.0,0.0,0,0.0,155,136.25,3.220108522097028,0,0,0.0,0.0,53.880512714385986,70.90425491333008,21.52250838279724,5.38062709569931,1749605652.1673074,False,False,False
3,success,10,True,success,0.5334683966824245,25.072718003100015,24.53924960641759,0.9787231525271227,97.87231525271227,0.09787231525271227,24.72133414699875,1.0142137901624506,0.34539511583118443,1.2289023069555185,144.7263482727737,-145.30118092279278,0.0,0.0,0.0,0,0.0,181,130.3,0.47465551733334505,0,0,0.0,0.0,82.34927654266357,161.4079475402832,66.44588279724121,6.644588279724121,1749605724.0677161,False,False,False
4,success,8,True,success,1.0684347135376453,24.7395141045642,23.671079391026556,0.9568126233594649,95.6812623359465,0.11960157791993312,23.0,1.0756310480245304,0.4229077846256729,0.7991917323080854,183.92197147058437,-184.8541392035118,0.0,0.0,0.0,0,0.0,173,108.25,7.63015967202823,0,0,0.0,0.0,55.38284778594971,64.62383270263672,33.63741183280945,4.204676479101181,1749605763.1549602,False,False,False
5,success,9,True,success,1.2709380172786071,26.631273185503343,25.360335168224736,0.9522764830496186,95.22764830496186,0.1058084981166243,25.0,1.0652509274201336,0.31752213722114875,0.7288549363678641,179.94668143041753,-180.83667182118526,0.0,0.0,0.0,0,0.0,174,96.44444444444444,7.677274809705448,0,0,0.0,0.0,58.54609277513292,72.44133949279785,39.23355722427368,4.359284136030409,1749605807.8389206,False,False,False
6,success,14,True,success,1.4666925332105025,34.29721944379002,32.830526910579515,0.9572358180343372,95.72358180343372,0.06837398700245266,39.324345885577664,0.8721624904730746,0.5192963820581846,1.2283871142343863,155.32463860103326,-156.5088168753285,0.0,0.0,0.0,0,0.0,173,107.64285714285714,0.5064674846263655,0,0,0.0,0.0,80.84511756896973,154.45947647094727,79.68427205085754,5.691733717918396,1749605892.983134,False,False,False
7,success,7,True,success,0.6707644046052281,19.46965943006135,18.79889502545612,0.965548220963251,96.5548220963251,0.1379354601376073,18.894719477219763,1.0304286048562274,0.2733937029671828,0.6361212587872299,185.58560246847554,-186.3808874610433,0.0,0.0,0.0,0,0.0,170,109.42857142857143,7.346228227622756,0,0,0.0,0.0,65.57512283325195,79.21624183654785,33.38290286064148,4.768986122948783,1749605931.7963676,False,False,False
8,success,17,True,success,0.8943813447659253,40.443733759121244,39.54935241435532,0.9778857869529859,97.78857869529858,0.05752269335017564,46.66448314518102,0.8666919899936321,0.5165305296999405,1.22398362935182,127.51416884977232,-128.49613971150416,0.0,0.0,0.0,0,0.0,181,105.88235294117646,0.3798536858896253,0,0,0.0,0.0,79.01678365819595,164.78466987609863,97.53051567077637,5.737089157104492,1749606034.7817876,False,False,False
9,success,20,True,success,0.7691591241764292,52.49361319188513,51.724454067708706,0.9853475674961668,98.53475674961668,0.04926737837480834,58.97822942336002,0.8900506798037842,0.5798516656930763,1.2333671334405603,110.77207890290723,-111.59278719515149,0.0,0.0,0.0,0,0.0,167,101.85,0.4702926625377924,1,1,5.0,5.0,82.68319368362427,156.94904327392578,105.07220435142517,5.253610217571259,1749606145.326511,False,False,False
10,success,14,True,success,0.15498463287781583,36.74102990806554,36.58604527518773,0.9957817014584072,99.57817014584072,0.07112726438988623,38.404626638257874,0.9566823876231857,0.6135609913108485,1.2479657657938916,145.17435388991385,-146.1766978671051,0.0,0.0,0.0,0,0.0,169,111.14285714285714,1.1639208635394,0,0,0.0,0.0,84.1416461127145,147.45545387268066,63.818822145462036,4.558487296104431,1749606214.599216,False,False,False
11,success,23,True,success,1.2948747132861391,60.84395719669493,59.54908248340879,0.9787181049204262,97.87181049204263,0.04255296108349679,65.47653884461236,0.929248220360099,0.6864460902112086,1.2250540606938933,91.7626374282055,-92.38050775399026,0.0,0.0,0.0,0,0.0,168,86.3913043478261,0.46688439224665657,1,1,4.3478260869565215,4.3478260869565215,80.4281234741211,165.6801700592041,103.27327275276184,4.490142293598341,1749606323.3424525,False,False,False
12,success,15,True,success,1.1477943502810735,37.84365045746705,36.695856107185975,0.9696700942851405,96.96700942851405,0.0646446729523427,41.91986675202776,0.9027617067899307,0.5286729512643892,1.2053040848624703,150.96828626497742,-151.98149270945407,0.0,0.0,0.0,1,0.02385503765828711,184,106.8,1.0642555577842676,2,2,13.333333333333334,13.333333333333334,74.2367426554362,147.08232879638672,32.5710175037384,2.1714011669158935,1749606412.9286215,False,False,False
13,success,25,True,success,1.4637815186861804,68.6124629958367,67.14868147715052,0.9786659528783422,97.86659528783423,0.03914663811513369,71.05713440419191,0.9655956938194372,0.6794432024984082,1.208803448612591,82.83599645913787,-83.43754100495893,0.0,0.0,0.0,0,0.0,175,91.96,0.38507549241381284,2,2,8.0,8.0,72.58979797363281,143.9971923828125,132.36335611343384,5.2945342445373536,1749606550.7345974,False,False,False
14,success,20,True,success,0.45322109438449537,52.66630658443035,52.213085490045856,0.9913944773465758,99.13944773465758,0.04956972386732879,55.89365543717992,0.942259119975131,0.6605788922276259,1.220768716450661,106.4664100383068,-107.54775222209612,0.0,0.0,0.0,0,0.0,183,108.95,0.5599760094583682,1,1,5.0,5.0,82.91386365890503,158.2968235015869,103.359206199646,5.1679603099823,1749606659.5477355,False,False,False
