episode_id,step,timestamp,distance_to_target,normalized_distance,distance_improvement,position_x,position_y,position_z,waypoint_x,waypoint_y,waypoint_z,action_magnitude,policy_length,control_error,velocity_x,velocity_y,velocity_z,speed,vfe,efe,suitability,precision_factor,entropy,model_confidence,predicted_efe_improvement,waypoint_options_count,planning_iterations,planning_time_ms,replanning_occurred,dynamic_replanning,direct_path_clear,direct_path_suitability,collision,obstacles_count,closest_obstacle,obstacle_density,high_density_area,near_goal,time_since_movement
0,0,1747704139.9526622,15.993360932645695,0.9999803003525978,0.0003150697779137346,0.0,0.0,-1.6808924674987793,-2.164574130239794,-2.5974169217269703,-1.7483676472777652,3.381790757936271,2,0.0,0.0,0.0,-5.640135350404307e-05,5.640135350404307e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,7.124423980712891,False,False,False,0.0,False,1,7.543689774437784,0.2,False,False,0.0
0,1,1747704146.3043911,12.41976976204953,0.7765425384487903,3.573591170596165,-2.6828153133392334,-2.426948308944702,-1.8298614025115967,-4.739704929566517,-5.110894614656678,-1.8761886010993578,3.3817907792495934,2,3.3817907792495934,0.12844215333461761,0.44051429629325867,-0.010580982081592083,0.4589795084464984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,14.562129974365234,False,False,False,0.0,False,0,inf,0.0,False,False,0.0
0,2,1747704149.4345257,8.698531339241947,0.5438731744924564,3.7212384228075823,-4.9326276779174805,-5.390431880950928,-2.1030166149139404,-11.118826885770721,-11.670151994657061,-1.1382643127007581,8.867620444648894,2,8.867620444648894,-0.7331757545471191,-0.9849789142608643,-0.10946967452764511,1.232766708763437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.520654678344727,False,False,False,0.0,False,2,8.513304229672016,0.4,False,False,0.0
0,3,1747704163.1399224,7.762591571991835,0.48535380926908406,0.9359397672501126,-5.295093536376953,-5.866515159606934,-2.093289375305176,-9.372025690929384,-11.160820286639574,-2.0163256406784056,6.6825867736525,2,6.6825867736525,0.3987373411655426,-0.07536475360393524,-0.755391538143158,0.8574891773216933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,10.058403015136719,True,True,False,0.0,True,6,8.519706282210864,1.2,False,False,13.862859725952148
0,4,1747704165.7708633,7.421935978408105,0.46405441608817255,0.34065559358372965,-5.262997150421143,-5.867401123046875,-2.079357624053955,-11.111405099422626,-12.616823693368865,-2.079357624053955,8.930765956552419,2,8.930765956552419,-0.059608343988657,-0.063216432929039,-1.988150715827942,1.9900484267757153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,5.023717880249023,True,True,False,0.0,False,0,inf,0.0,False,False,13.862859725952148
0,5,1747704171.3581524,2.706334997981994,0.16921281871484006,4.715600980426111,-11.142969131469727,-9.767292976379395,-2.4124040603637695,-10.473325757049036,-11.627049239386295,-2.1076346503156547,2.0,2,1.9999999999999993,-1.7796310186386108,-0.06496062129735947,-0.05182259529829025,1.7815701014003038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.523992538452148,True,True,False,0.0,False,1,19.96169758849384,0.2,False,True,13.862859725952148
0,6,1747704173.0477962,2.433636683679831,0.15216243490933845,0.27269831430216307,-11.8130464553833,-10.549297332763672,-2.655315399169922,-10.552072876107852,-11.936943232572963,-2.1310630798339845,1.9469093469438647,2,1.946909346943864,0.12954287230968475,-0.4425969421863556,0.04920770600438118,0.46378314687919514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,3.5142898559570312,True,True,False,0.0,False,0,inf,0.0,False,True,13.862859725952148
1,0,1747704229.2103167,20.463526460673144,0.9999881317957291,0.0002428681945474409,0.0,0.0,-1.6811684370040894,3.2826638616543824,0.8110799085093007,-1.7338583603144941,3.3817907792495934,2,0.0,0.0,0.0,-7.473441655747592e-05,7.473441655747592e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,7.056236267089844,False,False,False,0.0,False,0,inf,0.0,False,False,0.0
1,1,1747704234.0151224,16.708629882187832,0.8164981540628204,3.7548965784853117,3.6866397857666016,0.7312632203102112,-1.8087681531906128,6.960842083996955,1.5766093709786415,-1.8474730680040217,3.3817907792495934,2,3.3817907792495934,-0.5639935731887817,-0.2702171206474304,0.0028999261558055878,0.6253914393889213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.948854446411133,False,False,False,0.0,False,0,inf,0.0,False,False,0.0
1,2,1747704237.3746653,13.012522599167117,0.6358810241674636,3.696107283020716,7.261886119842529,1.6666346788406372,-2.1187338829040527,10.536938967538386,2.5090036565717955,-2.0878764418066225,3.3817907728769474,2,3.3817907728769474,1.2137441635131836,0.326427698135376,-0.12017295509576797,1.2626050355153535,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.004240036010742,False,False,False,0.0,False,1,7.845519167344436,0.2,False,False,0.0
