episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,18,True,success,1.3643153307861284,49.16367167169779,47.79935634091167,0.972249523186619,97.22495231866188,0.0540138623992566,58.289709511566265,0.8434365531010646,0.6394940390447492,1.2760054360260638,100.4650317844148,-101.01192789990228,0.0,0.0,0.0,1,0.0171556867992552,78,14.61111111111111,0.9457337514585684,1,1,5.555555555555555,5.555555555555555,464.1522036658393,8119.615316390991,71.2060649394989,3.955892496638828,1748999251.8080132,False,False,False
1,success,9,True,success,0.6708329176191654,25.43414305450472,24.763310136885558,0.9736247092665324,97.36247092665324,0.1081805232518369,23.74770285496725,1.0710148770951424,0.5268852604146824,1.0783668142315013,168.12698871732766,-168.84806618464614,0.0,0.0,0.0,0,0.0,74,28.88888888888889,2.4825727680148235,0,0,0.0,0.0,9.560955895317925,13.01860809326172,29.561445713043213,3.284605079227024,1748999286.8072886,False,False,False
2,oscillation,55,False,partial,14.23700869024223,45.53285237902064,31.295843688778408,0.687324471312894,68.7324471312894,0.012496808569325345,180.7345360467176,0.2519322171344771,0.12824480819204792,1.2617048200840166,139.20047322044516,-139.6289608301723,0.0,0.0,0.0,15,0.08299465242283682,96,7.0,0.9071781926001743,30,30,54.54545454545454,54.54545454545454,260.0874120538885,13811.182737350464,17.41879677772522,0.31670539595864033,1749143401.5548713,False,True,False
3,success,8,True,success,0.5051631774985551,24.88131969228173,24.376156514783172,0.9796970906790262,97.96970906790263,0.12246213633487828,25.365933936613445,0.9808950758311241,0.6288173502329806,1.01640352783642,197.51592353221096,-198.68805815090613,0.0,0.0,0.0,0,0.0,93,34.125,6.172943213115666,0,0,0.0,0.0,7.587552070617676,12.587547302246094,32.40637922286987,4.050797402858734,1749143439.7039282,False,False,False
4,success,6,True,success,1.3527804093781217,24.739600961007163,23.386820551629043,0.9453192308351991,94.53192308351991,0.15755320513919985,23.926510246433686,1.0339828377059153,0.5194363733152582,0.8201333345994198,187.6604692829197,-188.89503968352395,0.0,0.0,0.0,0,0.0,100,35.0,8.578024386525145,0,0,0.0,0.0,6.110787391662598,11.525392532348633,24.55675959587097,4.092793265978496,1749143469.810529,False,False,False
