episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,11,True,success,0.8792870861841287,32.548816875747775,31.669529789563647,0.9729855899358576,97.29855899358576,0.08845323544871432,30.032488257491682,1.0837868842795064,0.5211265701699404,1.185155430912937,162.7137397960046,-163.95506118492867,0.0,0.0,0.0,0,0.0,119,47.72727272727273,0.8482352503481252,1,1,9.090909090909092,9.090909090909092,5.781780589710582,11.130809783935547,47.73208427429199,4.339280388571999,1749148514.114642,False,False,False
1,success,13,True,success,1.2852544953366243,33.660372147763404,32.37511765242678,0.9618169849788181,96.18169849788181,0.07398592192144754,41.38298245922347,0.8133868113766449,0.5032297279109051,1.7529807095040344,137.68518100216886,-138.79370336245617,0.0,0.0,0.0,0,0.0,117,36.23076923076923,0.5747891254170935,5,5,38.46153846153847,38.46153846153847,6.022416628324068,11.196613311767578,78.64214873313904,6.04939605639531,1749148598.6348605,False,False,False
2,success,19,True,success,0.9792459024138622,42.08305030118442,41.103804398770556,0.976730633939187,97.6730633939187,0.051406875470483525,49.890725304560924,0.8435044799265979,0.6168643945317673,1.6774789451145493,123.34242562896088,-123.97396216998227,0.0,0.0,0.0,0,0.0,115,29.105263157894736,0.8786069870501442,7,7,36.84210526315789,36.84210526315789,5.821152737266139,14.255762100219727,83.50874710083008,4.395197215833162,1749148687.7002096,False,False,False
3,success,7,True,success,0.9480656944486915,24.488627818128073,23.540562123679383,0.9612854708932743,96.12854708932743,0.13732649584189632,21.679297843156665,1.1295858378484434,0.38432959414169615,1.0588655320627394,188.61689407010854,-189.88716457570627,0.0,0.0,0.0,0,0.0,98,41.857142857142854,1.570787833469859,0,0,0.0,0.0,6.175620215279715,11.528968811035156,34.75719213485718,4.965313162122454,1749148728.0437837,False,False,False
4,success,13,True,success,0.8690287683381723,37.59805384477738,36.72902507643921,0.9768863364065082,97.68863364065082,0.07514510280050063,38.09610926137979,0.9869263442839998,0.4050958218082519,1.1630789608867989,124.92003568910033,-125.35866993148728,0.0,0.0,0.0,0,0.0,119,34.53846153846154,0.4126332129162382,3,3,23.076923076923077,23.076923076923077,5.210528006920447,8.670568466186523,67.30178642272949,5.177060494056115,1749148800.9007502,False,False,False
