episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,8,True,success,1.4607491249046964,22.374020707214797,20.9132715823101,0.9347122654430341,93.4712265443034,0.11683903318037926,30.812080223686138,0.7261444389598609,0.5844752443017349,1.2642024294105707,43.03281992951608,-49.884590247231806,0.0,0.0,0.0,1,0.03245480320511664,0,0.0,inf,2,2,25.0,25.0,1144.4475948810577,9090.490818023682,32.57496190071106,4.0718702375888824,1748236982.4945402,False,False,False
1,success,6,True,success,1.2118824136064332,25.434060825862066,24.222178412255634,0.9523519888584148,95.23519888584147,0.15872533147640247,23.564073979593026,1.0793575358780696,0.7881794420040807,1.097473133104136,41.3737703991925,-48.3591064161238,0.0,0.0,0.0,0,0.0,1,0.16666666666666666,9.039179494354306,0,0,0.0,0.0,10.179638862609863,13.602495193481445,21.225924968719482,3.537654161453247,1748237009.2260957,False,False,False
2,stuck,24,False,partial,7.482665215889734,45.532830463987644,38.05016524809791,0.8356643955660116,83.56643955660115,0.034819349815250485,87.44522452603148,0.5207011670538169,0.3428963619710917,1.2351030039366948,22.091740935330503,-28.595524937473446,0.0,0.0,0.0,5,0.05717865128828796,6,0.5,11.786893157711651,7,7,29.166666666666668,29.166666666666668,9.234716494878134,13.001441955566406,46.8628134727478,1.9526172280311584,1748237192.6468937,True,False,False
3,success,5,True,success,1.1096622048229323,22.08031337579944,20.97065117097651,0.9497442728308761,94.97442728308762,0.18994885456617522,19.33076781503119,1.142236748538786,0.670300222708127,1.1464847171323975,46.33419098945398,-53.20679470047728,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,11.160850524902344,12.043476104736328,19.178001642227173,3.8356003284454347,1748237217.2591126,False,False,False
4,success,13,True,success,1.2732537265082973,40.09508573921783,38.821832012709535,0.9682441450608272,96.82441450608272,0.07448031885083287,47.21815667267935,0.8491455102146551,0.6522321241027279,1.2414881999314675,18.159972045210434,-24.645556409298802,0.0,0.0,0.0,1,0.021178293912066347,7,1.1538461538461537,15.781848220923147,2,2,15.384615384615385,15.384615384615385,7.6381976787860575,11.964082717895508,34.59381031990051,2.6610623323000393,1748237281.8631196,False,False,False
