episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,18,True,success,1.3051401441519184,49.16381144008624,47.85867129593432,0.9734532350946298,97.34532350946297,0.05408073528303499,52.614985578540555,0.9344070116050378,0.6318079454669792,1.247123208238376,106.03466584258241,-107.25537483752524,0.0,0.0,0.0,1,0.019005992095298758,103,23.38888888888889,0.7205918195733122,2,2,11.11111111111111,11.11111111111111,760.598964161343,13486.117362976074,92.20095086097717,5.1222750478320656,1749260505.2840521,False,False,False
1,success,14,True,success,0.8025645880583001,33.66041250874118,32.85784792068288,0.976157018638738,97.61570186387381,0.06972550133133844,37.527772015237744,0.8969467330774056,0.4376896251314265,1.2263836817304121,128.20670592532716,-129.29072811937007,0.0,0.0,0.0,0,0.0,120,38.785714285714285,0.7695228333271681,2,2,14.285714285714285,14.285714285714285,6.697382245744977,19.2720890045166,77.637362241745,5.545525874410357,1749260589.2941134,False,False,False
2,success,17,True,success,0.9870332696763386,50.236006291983465,49.248973022307126,0.9803520752836229,98.03520752836229,0.057667769134330756,54.19851169610077,0.9268890366153286,0.6082470691500813,1.2723821488382825,97.31339669549232,-97.89168645677292,0.0,0.0,0.0,0,0.0,125,31.058823529411764,0.269997631982717,0,0,0.0,0.0,9.374099619248334,42.029380798339844,85.88680005073547,5.052164708866792,1749260681.176727,False,False,False
3,success,9,True,success,0.5401432614389823,31.59518906833096,31.05504580689198,0.982904256079278,98.2904256079278,0.10921158400880866,29.84440626879756,1.0586636833638017,0.6053171259696576,0.8690152844041572,148.77530475339438,-149.35025903435132,0.0,0.0,0.0,0,0.0,106,21.444444444444443,8.501021987891866,0,0,0.0,0.0,14.230622185601128,63.681602478027344,40.53818464279175,4.504242738087972,1749260727.4077122,False,False,False
4,success,5,True,success,1.6791293339388857,18.74957974154858,17.070450407609695,0.9104444282440114,91.04444282440114,0.18208888564880227,19.007637036355256,0.9864234941822017,0.39208673206436134,1.215742348594833,189.84797406706352,-191.14185201972361,0.0,0.0,0.0,0,0.0,109,66.8,1.0890638529506365,1,1,20.0,20.0,21.92831039428711,87.52179145812988,34.139787673950195,6.827957534790039,1749260767.3894825,False,False,False
