episode_id,step,timestamp,distance_to_target,normalized_distance,distance_improvement,position_x,position_y,position_z,waypoint_x,waypoint_y,waypoint_z,action_magnitude,policy_length,control_error,velocity_x,velocity_y,velocity_z,speed,vfe,efe,suitability,precision_factor,entropy,model_confidence,predicted_efe_improvement,waypoint_options_count,planning_iterations,planning_time_ms,replanning_occurred,dynamic_replanning,direct_path_clear,direct_path_suitability,collision,obstacles_count,closest_obstacle,obstacle_density,high_density_area,near_goal,time_since_movement
0,0,1747703446.1575851,12.70588670776766,0.9999699064555672,0.00038237667326868063,0.0,0.0,-1.6826668977737427,-2.1643298012672365,-2.5971237350908916,-1.7671280757884467,3.3817907792495934,2,0.0,0.0,0.0,-6.263808609219268e-05,6.263808609219268e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,7.058143615722656,False,False,False,0.0,False,0,inf,0.0,False,False,0.0
0,1,1747703452.3872368,9.149672587443208,0.7200912027470879,3.5562141203244515,-2.677013874053955,-2.413761615753174,-1.8318365812301636,-9.267951310623282,-10.020108895538305,-1.8318365812301636,10.064639846187529,2,10.064639846187529,0.13472513854503632,0.43655937910079956,-0.010401836596429348,0.4569936024075541,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,10.528802871704102,False,False,False,0.0,False,0,inf,0.0,False,False,0.0
0,2,1747703474.8980074,4.458234679672733,0.3508689018031208,4.691437907770474,-5.414943695068359,-5.59005069732666,-2.1395175457000732,-6.506677790526633,-7.264856163307326,-2.0834522629023375,2.0,2,2.0,-0.0994938462972641,0.2718386650085449,-1.9593466520309448,1.9806146995489868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,6.570577621459961,True,True,False,0.0,True,6,8.547440253920962,1.2,False,True,0.0
0,3,1747703476.9238684,3.7235167971722234,0.29304564325115245,0.7347178825005098,-6.093784809112549,-6.6455583572387695,-2.159841299057007,-7.1884066749109286,-8.31721379032392,-2.073986282005172,2.0,2,2.0,-0.827443540096283,-1.246569037437439,0.009760125540196896,1.4962260648696548,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,14.537811279296875,True,True,False,0.0,False,10,8.529149853731996,2.0,False,True,0.0
0,4,1747703496.5814822,2.4264862368437354,0.19096764130511093,1.297030560328488,-5.360776424407959,-5.7093634605407715,-2.3039443492889404,-6.488249785327266,-7.356636605417472,-2.180271366849976,2.0,2,2.0,-0.014337482862174511,-0.012743882834911346,-2.03558349609375,2.0356738784819606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,6.073474884033203,True,True,False,0.0,True,6,8.501720422233008,1.2,False,True,0.0
0,5,1747703517.6082644,3.124695655651506,0.24591763600203903,-0.6982094188077705,-5.470772743225098,-5.820189476013184,-2.3197243213653564,-6.588077876335007,-7.473551580209104,-2.1854745841772134,2.0,2,2.0,-0.005190512165427208,-0.009031778201460838,-2.108333110809326,2.1083588453033677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,5.007505416870117,True,True,False,0.0,True,8,8.506915629972255,1.6,False,True,0.0
0,6,1747703518.4352796,4.653121202126798,0.36620672608174454,-1.5284255464752916,-5.52449369430542,-5.903705596923828,-2.0106747150421143,-6.645123247449914,-7.560258751241729,-2.0060865194725532,2.0,2,2.0,-0.09914824366569519,-0.12547007203102112,0.0815049409866333,0.17948863084523284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.562616348266602,True,True,False,0.0,False,6,8.605356219017015,1.2,False,True,3.4896938800811768
0,7,1747703540.0033174,4.688101979603326,0.3689597590329641,-0.0349807774765285,-5.553633213043213,-5.866112232208252,-3.740065097808838,-6.588608764177122,-7.428433279244318,-3.0415104796556185,2.0,2,2.0,-0.05422411859035492,0.001444962457753718,-2.04538893699646,2.0461080730354673,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,5.896568298339844,True,True,False,0.0,True,1,11.124780231369627,0.2,False,True,0.0010106563568115234
0,8,1747703540.9864886,4.755205189589342,0.37424086944704976,-0.0671032099860156,-5.606776237487793,-5.961551189422607,-3.351064443588257,-6.668740936331394,-7.558212346428279,-2.782817905438371,2.0,2,2.0,-0.21958531439304352,-0.30667629837989807,0.10809263586997986,0.39236727719626174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.01759147644043,True,True,False,0.0,False,0,inf,0.0,False,True,0.0010106563568115234
0,9,1747703543.0537944,2.559582630347454,0.2014425015980271,2.1956225592418877,-6.898550033569336,-7.902315139770508,-3.260178804397583,-7.8621104303688325,-9.352131010184328,-2.275503576916048,2.0,2,1.9999999999999998,-0.5582988858222961,-0.850092887878418,-0.05145595967769623,1.0183335797852482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.701852798461914,True,True,False,0.0,False,0,inf,0.0,False,True,0.0010106563568115234
0,10,1747703545.0257926,1.6918013677108257,0.13314698094836266,0.8677812626366284,-7.8632988929748535,-8.455771446228027,-3.046389579772949,-8.078024787425916,-9.497375808707329,-2.2092779159545897,1.3534410941686605,2,1.353441094168661,-0.5078709721565247,0.896981954574585,0.10846443474292755,1.0364719411521757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4.549503326416016,True,True,False,0.0,False,0,inf,0.0,False,True,0.0
