episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,9,True,success,1.1813022675217544,21.88628979618119,20.70498752865944,0.9460254671521404,94.60254671521405,0.1051139407946822,28.882642341398306,0.7577661883383487,0.5219518742167689,1.0191119123462118,239.0191778497109,-240.80495009470204,0.0,0.0,0.0,2,0.0692457420051677,73,22.88888888888889,6.022163803387499,3,3,33.33333333333333,33.33333333333333,35.18009185791016,90.34371376037598,28.18225359916687,3.1313615110185413,1749352950.3918867,False,False,False
1,success,8,True,success,1.2701314409051896,31.229002250849742,29.95887080994456,0.9593284655493396,95.93284655493396,0.1199160581936674,28.05908402658552,1.1129729759268256,0.6088469823159638,0.9793358792306576,155.01600724002645,-155.7658715288344,0.0,0.0,0.0,0,0.0,70,20.875,6.786574163817209,0,0,0.0,0.0,44.9863076210022,138.63205909729004,37.39477443695069,4.6743468046188354,1749352993.9818275,False,False,False
2,success,2,True,success,1.092925736814738,13.480108362822955,12.387182626008215,0.9189230748449368,91.89230748449368,0.4594615374224684,11.08066773292991,1.2165429636304592,0.113609568617391,0.2151952310113062,275.76432773547924,-278.26376400454,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,55.6032657623291,79.12468910217285,14.92687726020813,7.463438630104065,1749353015.2433844,False,False,False
3,success,19,True,success,0.328168457015557,48.01751948884399,47.68935103182843,0.993165651609892,99.3165651609892,0.0522718764005206,65.60475141026104,0.7319213693618799,0.4885968589398871,1.2379485536467318,116.7370045961015,-117.3528471698024,0.0,0.0,0.0,1,0.0152427984026107,24,4.894736842105263,1.845310762723112,3,3,15.789473684210526,15.789473684210526,35.521858616879115,121.80423736572266,68.56532263755798,3.60870119145042,1749353134.5080397,False,False,False
4,success,11,True,success,1.0278433809240857,40.09492991526645,39.067086534342366,0.9743647542695236,97.43647542695236,0.08857861402450215,40.332624349331624,0.9941066459745728,0.6163306068100987,1.0917413118469144,138.23644794992072,-139.14062641908347,0.0,0.0,0.0,0,0.0,69,21.545454545454547,1.8431400772702813,0,0,0.0,0.0,26.23265439813787,45.66788673400879,52.61261773109436,4.782965248281306,1749353308.3201237,False,False,False
